absolute_humidity_2m:gm3,clear_sky_rad:W,dew_point_2m:C,diffuse_rad:W,diffuse_rad_1h:Ws,direct_rad:W,direct_rad_1h:Ws,dust_0p03um_0p55um:ugm3,dust_0p55um_0p9um:ugm3,dust_0p9um_20um:ugm3,effective_cloud_cover:p,fresh_snow_1h:cm,frost_depth:cm,global_rad:W,global_rad_1h:Ws,high_cloud_cover:p,is_fog_1h:idx,is_rain_1h:idx,is_sleet_1h:idx,is_snow_1h:idx,low_cloud_cover:p,medium_cloud_cover:p,neff:p,pm1:ugm3,pm10:ugm3,pm2p5:ugm3,precip_1h:mm,prob_precip_1h:p,relative_humidity_2m:p,sfc_pressure_mean_1h:hPa,snowdepth:cm,snow_melt_1h:mm,sunrise:sql,sunset:sql,sunshine_duration_1h:min,t_0m:C,t_2m:C,t_max_0m_1h:C,t_mean_0m_1h:C,t_min_0m_1h:C,total_cloud_cover:p,wet_bulb_t_2m:C,wind_dir_10m:d,wind_dir_mean_10m_1h:d,wind_gusts_10m:ms,wind_speed_10m:ms,wind_speed_mean_10m_1h:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
6.2,494.9,4.7,84.4,324314.2,380.7,1699855.6,0.257,2.426,35.036,0.0,0.0,0.0,465.1,2024169.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813,24.391,8.039,0.0,1.0,23.3,911.4,0.0,0.0,2020-04-24 13:05:00,2020-04-25 02:26:00,60.0,34.4,27.5,38.7,36.3,34.0,0.0,14.4,272.7,271.6,4.9,3.7,3.5,3.7,-0.2
6.4,110.6,4.6,47.6,233446.0,50.9,436045.8,0.034,0.303,4.637,63.4,0.0,0.0,98.5,669491.9,63.7,0.0,0.0,0.0,0.0,21.1,32.0,63.4,11.756,21.892,14.07,0.0,1.0,55.1,978.9,0.1,0.31,2020-04-23 11:08:00,2020-04-24 00:59:00,40.8,13.1,13.4,16.4,14.6,12.8,69.9,8.9,88.7,91.2,10.1,4.9,5.4,-4.9,-0.1
7.3,113.9,6.4,39.3,261041.4,0.2,12577.6,0.018,0.147,2.135,100.0,0.0,0.0,39.5,273619.0,80.5,0.0,0.0,0.0,0.0,100.0,0.0,100.0,7.518,13.723,8.984,0.0,1.0,70.6,980.6,0.0,0.0,2020-04-24 11:06:00,2020-04-25 01:00:00,0.0,11.6,11.6,13.3,12.4,11.5,100.0,8.9,82.3,77.5,4.2,2.4,2.3,-2.4,-0.3
6.4,110.6,4.6,47.6,233446.0,50.9,436045.8,0.034,0.303,4.637,63.4,0.0,0.0,98.5,669491.9,63.7,0.0,0.0,0.0,0.0,21.1,32.0,63.4,11.756,21.892,14.07,0.0,1.0,55.1,978.9,0.1,0.31,2020-04-23 11:08:00,2020-04-24 00:59:00,40.8,13.1,13.4,16.4,14.6,12.8,69.9,8.9,88.7,91.2,10.1,4.9,5.4,-4.9,-0.1
7.3,113.9,6.4,39.3,261041.4,0.2,12577.6,0.018,0.147,2.135,100.0,0.0,0.0,39.5,273619.0,80.5,0.0,0.0,0.0,0.0,100.0,0.0,100.0,7.518,13.723,8.984,0.0,1.0,70.6,980.6,0.0,0.0,2020-04-24 11:06:00,2020-04-25 01:00:00,0.0,11.6,11.6,13.3,12.4,11.5,100.0,8.9,82.3,77.5,4.2,2.4,2.3,-2.4,-0.3
9.2,97.3,9.7,35.6,207266.8,16.0,96437.9,0.05,0.443,5.747,61.0,0.0,0.0,51.6,303704.7,59.2,0.0,1.0,0.0,0.0,32.8,17.7,61.0,8.672,17.326,10.613,0.5,15.4,89.9,961.3,0.0,0.0,2020-04-23 11:06:00,2020-04-24 00:53:00,40.3,10.8,11.3,13.1,11.8,10.6,72.5,10.4,92.1,84.4,9.1,4.8,4.7,-4.8,0.2
7.4,100.4,6.6,26.3,181827.1,0.9,11843.6,0.017,0.14,1.76,100.0,0.0,0.0,27.2,193670.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,6.583,11.968,7.871,0.03,1.0,80.6,961.9,0.0,0.0,2020-04-24 11:04:00,2020-04-25 00:55:00,0.0,9.6,9.7,11.3,10.4,9.4,100.0,8.1,67.8,69.3,6.7,3.0,3.3,-2.8,-1.2
9.2,97.3,9.7,35.6,207266.8,16.0,96437.9,0.05,0.443,5.747,61.0,0.0,0.0,51.6,303704.7,59.2,0.0,1.0,0.0,0.0,32.8,17.7,61.0,8.672,17.326,10.613,0.5,15.4,89.9,961.3,0.0,0.0,2020-04-23 11:06:00,2020-04-24 00:53:00,40.3,10.8,11.3,13.1,11.8,10.6,72.5,10.4,92.1,84.4,9.1,4.8,4.7,-4.8,0.2
7.4,100.4,6.6,26.3,181827.1,0.9,11843.6,0.017,0.14,1.76,100.0,0.0,0.0,27.2,193670.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,6.583,11.968,7.871,0.03,1.0,80.6,961.9,0.0,0.0,2020-04-24 11:04:00,2020-04-25 00:55:00,0.0,9.6,9.7,11.3,10.4,9.4,100.0,8.1,67.8,69.3,6.7,3.0,3.3,-2.8,-1.2
6.1,134.6,3.8,49.6,259171.6,82.6,467016.4,0.021,0.177,2.948,3.2,0.0,0.0,132.2,726188.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,11.44,20.576,13.584,0.0,1.0,54.9,973.5,0.0,0.0,2020-04-23 11:13:00,2020-04-24 01:08:00,58.1,12.0,12.6,14.6,13.1,11.7,3.2,8.2,45.9,52.5,6.7,3.3,3.5,-2.4,-2.3
