lat,lon
42.6836,-94.5340
34.1008,-117.7678
33.7879,-117.8531
34.2694,-118.7815
33.4152,-111.8315
34.4562,-118.5714
34.0122,-117.6889
33.5685,-117.7263
36.1699,-115.1398
34.1654,-118.6090
38.5816,-121.4944
27.8006,-97.3964
33.4936,-117.1484
33.4484,-112.0740
42.3265,-122.8756
39.7817,-89.6501
33.8366,-117.9143
36.0395,-114.9817
31.5455,-110.2773
42.1100,-88.0300
33.7475,-116.9720
35.2271,-80.8431
44.0600,-121.3200
36.1699,-115.1398
41.8661,-88.1070
33.4484,-112.0740
42.3703,-87.9020
42.0300,-88.0800
34.1478,-118.1445
33.6832,-117.6664
42.0451,-87.6877
41.3275,-89.1290
41.8900,-87.9900
