lat,lon
44.9800,-73.3000
38.1700,-122.2600
40.3800,-111.8000
33.8400,-117.9100
45.2000,-93.3900
34.5000,-117.1900
44.2500,-91.5000
44.2500,-91.5000
43.4700,-90.5500
43.4700,-90.5500
45.4300,-93.2200
41.9400,-71.2900
30.2700,-97.7400
30.2700,-97.7400
33.9300,-116.9800
39.7100,-84.0600
40.3600,-83.7600
33.8800,-118.1200
44.8400,-93.3000
41.7000,-88.0700
41.7000,-88.0700
41.1800,-73.1900
40.5900,-74.6000
40.5900,-74.6000
39.9900,-104.8200
42.0800,-71.0200
40.6800,-73.9400
40.6800,-73.9400
36.1000,-79.4400
38.4200,-121.5300
34.9100,-120.4500
34.8800,-120.4200
34.9600,-120.4000
34.0000,-117.0600
42.3100,-83.4800
31.1600,-117.3500
33.6400,-105.8800
33.8300,-118.2800
33.7800,-116.4700
39.6300,-84.1600
33.8600,-118.0600
41.8800,-87.6300
39.7300,-121.8400
39.3300,-82.9800
32.6400,-117.0800
39.1000,-84.5100
39.1000,-84.5100
39.1000,-84.5100
39.1000,-84.5100
39.1000,-84.5100
39.1000,-84.5100
39.1000,-84.5100
40.6400,-74.9100
36.8300,-119.7000
36.8300,-119.7000
36.1400,-120.3600
39.9600,-83.0000
39.9600,-83.0000
39.9600,-83.0000
39.9600,-83.0000
39.9600,-83.0000
39.9600,-83.0000
39.9600,-83.0000
45.3800,-91.0400
33.8800,-117.5700
33.6600,-117.9000
33.6600,-117.9000
34.0900,-117.8900
32.7800,-96.8000
39.2100,-84.3900
42.1700,-87.8400
41.2800,-84.3600
35.7700,-119.2500
33.9400,-118.1300
44.7800,-91.9300
44.7800,-91.9300
37.7200,-121.9100
37.7200,-121.9100
37.7200,-121.9100
42.0600,-72.5100
39.7400,-84.6400
39.3800,-74.6200
39.8800,-84.3000
42.0451,-87.6877
42.0500,-87.6900
39.8200,-84.0200
36.3000,-119.2100
40.1100,-104.9400
34.0900,-117.4400
34.0900,-117.4400
39.2900,-84.5000
32.7600,-97.3300
42.2800,-71.4200
37.5500,-121.9900
36.7400,-119.7900
36.7400,-119.7900
36.7400,-119.7900
36.7400,-119.7900
36.7400,-119.7900
36.7400,-119.7900
36.7400,-119.7900
33.8700,-117.9200
39.9100,-83.1600
33.7700,-117.9400
34.1400,-118.2600
42.0800,-87.8200
45.6300,-93.0800
44.9700,-93.2300
44.9700,-93.2300
44.9700,-93.2300
44.9700,-93.2300
44.9700,-93.2300
38.7600,-121.1600
32.9300,-97.0800
39.2200,-121.0600
35.6100,-77.3700
39.8800,-83.0900
41.2900,-72.6700
39.6400,-77.7200
44.6100,-93.0000
33.7500,-116.9700
33.7500,-116.9700
34.4300,-117.3000
34.4300,-117.3000
34.4300,-117.3000
40.0300,-83.1600
39.2000,-83.6100
42.1400,-71.0100
40.3500,-74.1800
39.8400,-84.1200
32.6500,-96.7100
32.6500,-96.7100
38.0600,-97.9300
41.9800,-88.0100
41.9800,-88.0100
41.5300,-88.0800
41.5300,-88.0800
40.7000,-99.0800
36.1500,-119.5500
33.9300,-117.9500
33.6600,-116.3100
44.9000,-91.2700
45.4300,-94.4300
45.4300,-94.4300
45.4300,-94.4300
45.4300,-94.4300
45.4300,-94.4300
40.0800,-74.2100
39.7100,-82.6000
34.6900,-118.1500
34.6900,-118.1500
29.7300,-99.7600
38.7700,-75.1400
43.2900,-90.5400
43.2900,-90.5400
39.4000,-84.4100
40.7400,-84.1100
40.7400,-84.1100
40.7400,-84.1100
42.5400,-71.5100
29.5700,-98.3400
41.7600,-87.6000
41.8800,-88.0100
39.2689,-84.2638
40.6300,-91.3300
44.3682,-73.0608
39.3151,-84.2208
40.7584,-82.5154
40.7584,-82.5154
37.7974,-121.2161
42.3459,-71.5523
41.3300,-88.7100
44.6832,-92.8777
39.3601,-84.3099
39.4523,-74.7277
45.1400,-90.3400
33.6971,-117.1853
37.3022,-120.4830
39.0236,-94.6939
45.2100,-93.6700
45.2100,-93.6700
45.2100,-93.6700
45.2100,-93.6700
39.5151,-84.3983
39.4496,-75.7163
39.1753,-84.2944
37.4323,-121.8996
41.5100,-90.5200
41.3326,-73.2073
39.0868,-84.3805
42.9700,-90.8600
42.9672,-90.8590
42.2400,-72.6500
38.5025,-122.2654
41.7500,-88.1500
29.5250,-97.7286
42.2775,-71.3468
32.6781,-177.0992
43.6700,-92.9800
43.6700,-92.9800
43.6700,-92.9800
43.6700,-92.9800
43.6700,-92.9800
45.2000,-91.5600
45.2000,-91.5600
41.6362,-70.9342
41.3326,-73.2073
36.1699,-115.1398
39.1645,-84.4543
33.1959,-117.3795
34.0633,-117.6509
41.2786,-73.0265
33.7879,-117.8531
39.5070,-84.7452
34.1975,-119.1771
34.1975,-119.1771
34.1975,-119.1771
34.2000,-119.1800
34.2000,-119.1800
33.8303,-116.5453
34.5794,-118.1165
35.6369,-120.6545
38.2324,-122.6367
38.2324,-122.6367
30.4548,-97.6223
33.4484,-112.0740
38.7296,-120.7985
33.0198,-96.6989
39.9900,-120.8000
